"time","PistonCylinder.OttoCycle.curve_pv[1].arr_p[1]","PistonCylinder.OttoCycle.curve_pv[1].arr_p[2]","PistonCylinder.OttoCycle.curve_pv[1].arr_p[3]","PistonCylinder.OttoCycle.curve_pv[1].arr_p[4]","PistonCylinder.OttoCycle.curve_pv[1].arr_p[5]","PistonCylinder.OttoCycle.curve_pv[1].arr_p[6]","PistonCylinder.OttoCycle.curve_pv[1].arr_p[7]","PistonCylinder.OttoCycle.curve_pv[1].arr_p[8]","PistonCylinder.OttoCycle.curve_pv[1].arr_p[9]","PistonCylinder.OttoCycle.curve_pv[1].arr_p[10]","PistonCylinder.OttoCycle.curve_pv[1].arr_v[6]","PistonCylinder.OttoCycle.curve_pv[1].arr_v[1]","PistonCylinder.OttoCycle.curve_pv[1].arr_v[2]","PistonCylinder.OttoCycle.curve_pv[1].arr_v[3]","PistonCylinder.OttoCycle.curve_pv[1].arr_v[4]","PistonCylinder.OttoCycle.curve_pv[1].arr_v[5]","PistonCylinder.OttoCycle.curve_pv[1].arr_v[7]","PistonCylinder.OttoCycle.curve_pv[1].arr_v[8]","PistonCylinder.OttoCycle.curve_pv[1].arr_v[9]","PistonCylinder.OttoCycle.curve_pv[1].arr_v[10]","PistonCylinder.OttoCycle.curve_pv[2].arr_p[1]","PistonCylinder.OttoCycle.curve_pv[2].arr_p[2]","PistonCylinder.OttoCycle.curve_pv[2].arr_p[3]","PistonCylinder.OttoCycle.curve_pv[2].arr_p[4]","PistonCylinder.OttoCycle.curve_pv[2].arr_p[5]","PistonCylinder.OttoCycle.curve_pv[2].arr_p[6]","PistonCylinder.OttoCycle.curve_pv[2].arr_p[7]","PistonCylinder.OttoCycle.curve_pv[2].arr_p[8]","PistonCylinder.OttoCycle.curve_pv[2].arr_p[9]","PistonCylinder.OttoCycle.curve_pv[2].arr_p[10]","PistonCylinder.OttoCycle.curve_pv[2].arr_v[1]","PistonCylinder.OttoCycle.curve_pv[2].arr_v[2]","PistonCylinder.OttoCycle.curve_pv[2].arr_v[3]","PistonCylinder.OttoCycle.curve_pv[2].arr_v[4]","PistonCylinder.OttoCycle.curve_pv[2].arr_v[5]","PistonCylinder.OttoCycle.curve_pv[2].arr_v[6]","PistonCylinder.OttoCycle.curve_pv[2].arr_v[7]","PistonCylinder.OttoCycle.curve_pv[2].arr_v[8]","PistonCylinder.OttoCycle.curve_pv[2].arr_v[9]","PistonCylinder.OttoCycle.curve_pv[2].arr_v[10]","PistonCylinder.OttoCycle.curve_pv[3].arr_p[1]","PistonCylinder.OttoCycle.curve_pv[3].arr_p[2]","PistonCylinder.OttoCycle.curve_pv[3].arr_p[3]","PistonCylinder.OttoCycle.curve_pv[3].arr_p[4]","PistonCylinder.OttoCycle.curve_pv[3].arr_p[5]","PistonCylinder.OttoCycle.curve_pv[3].arr_p[6]","PistonCylinder.OttoCycle.curve_pv[3].arr_p[7]","PistonCylinder.OttoCycle.curve_pv[3].arr_p[8]","PistonCylinder.OttoCycle.curve_pv[3].arr_p[9]","PistonCylinder.OttoCycle.curve_pv[3].arr_p[10]","PistonCylinder.OttoCycle.curve_pv[4].arr_p[1]","PistonCylinder.OttoCycle.curve_pv[4].arr_p[2]","PistonCylinder.OttoCycle.curve_pv[4].arr_p[3]","PistonCylinder.OttoCycle.curve_pv[4].arr_p[4]","PistonCylinder.OttoCycle.curve_pv[4].arr_p[5]","PistonCylinder.OttoCycle.curve_pv[4].arr_p[6]","PistonCylinder.OttoCycle.curve_pv[4].arr_p[7]","PistonCylinder.OttoCycle.curve_pv[4].arr_p[8]","PistonCylinder.OttoCycle.curve_pv[4].arr_p[9]","PistonCylinder.OttoCycle.curve_pv[4].arr_p[10]","PistonCylinder.OttoCycle.curve_pv[4].arr_v[1]","PistonCylinder.OttoCycle.curve_pv[4].arr_v[2]","PistonCylinder.OttoCycle.curve_pv[4].arr_v[3]","PistonCylinder.OttoCycle.curve_pv[4].arr_v[4]","PistonCylinder.OttoCycle.curve_pv[4].arr_v[5]","PistonCylinder.OttoCycle.curve_pv[4].arr_v[6]","PistonCylinder.OttoCycle.curve_pv[4].arr_v[7]","PistonCylinder.OttoCycle.curve_pv[4].arr_v[8]","PistonCylinder.OttoCycle.curve_pv[4].arr_v[9]","PistonCylinder.OttoCycle.curve_pv[4].arr_v[10]"
82.15,85254.09785837366,261043.3775720923,436832.657285811,612621.9369995297,788411.2167132483,964200.496426967,1139989.776140686,1315779.055854404,1491568.335568123,1667357.615281842,0.1700547604115648,0.9702370098368918,0.4358380332060733,0.3011792186279491,0.2360703544159342,0.1967431074401917,0.1505870676910771,0.1356685232184559,0.1238185296375161,0.1141455305690464,85254.09785837366,261043.3775720923,436832.657285811,612621.9369995297,788411.2167132483,964200.496426967,1139989.776140686,1315779.055854404,1491568.335568123,1667357.615281842,0.9702370098368918,0.4358380332060733,0.3011792186279491,0.2360703544159342,0.1967431074401917,0.1700547604115648,0.1505870676910771,0.1356685232184559,0.1238185296375161,0.1141455305690464,515551.9662282714,1368094.116150366,2220636.266072461,3073178.415994556,3925720.56591665,4778262.715838746,5630804.865760841,6483347.015682936,7335889.16560503,8188431.315527125,515551.9662282714,1368094.116150366,2220636.266072461,3073178.415994556,3925720.56591665,4778262.715838746,5630804.865760841,6483347.015682936,7335889.16560503,8188431.315527125,0.9702370098368939,0.4577238110692031,0.3147030267137853,0.2446291483886123,0.202279446364466,0.173624330838438,0.1528062596421042,0.1369217198570775,0.1243584594648425,0.1141455305690461
82.2,85254.09785837366,261043.3775720929,436832.657285812,612621.9369995312,788411.2167132503,964200.4964269694,1139989.776140689,1315779.055854408,1491568.335568127,1667357.615281846,0.1700547604115643,0.9702370098368918,0.4358380332060729,0.3011792186279484,0.2360703544159339,0.1967431074401909,0.1505870676910766,0.1356685232184557,0.1238185296375159,0.114145530569046,85254.09785837366,261043.3775720929,436832.657285812,612621.9369995312,788411.2167132503,964200.4964269694,1139989.776140689,1315779.055854408,1491568.335568127,1667357.615281846,0.9702370098368918,0.4358380332060729,0.3011792186279484,0.2360703544159339,0.1967431074401909,0.1700547604115643,0.1505870676910766,0.1356685232184557,0.1238185296375159,0.114145530569046,515551.966228271,1368094.116150366,2220636.266072461,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760842,6483347.015682938,7335889.165605033,8188431.315527128,515551.966228271,1368094.116150366,2220636.266072461,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760842,6483347.015682938,7335889.165605033,8188431.315527128,0.9702370098368922,0.4577238110692031,0.3147030267137853,0.2446291483886122,0.2022794463644662,0.173624330838438,0.1528062596421042,0.1369217198570774,0.1243584594648425,0.114145530569046
82.25,85254.09785837366,261043.3775720923,436832.6572858108,612621.9369995294,788411.2167132479,964200.4964269666,1139989.776140685,1315779.055854404,1491568.335568123,1667357.615281841,0.1700547604115648,0.9702370098368918,0.4358380332060734,0.3011792186279492,0.2360703544159347,0.1967431074401917,0.1505870676910772,0.1356685232184559,0.1238185296375161,0.1141455305690464,85254.09785837366,261043.3775720923,436832.6572858108,612621.9369995294,788411.2167132479,964200.4964269666,1139989.776140685,1315779.055854404,1491568.335568123,1667357.615281841,0.9702370098368918,0.4358380332060734,0.3011792186279492,0.2360703544159347,0.1967431074401917,0.1700547604115648,0.1505870676910772,0.1356685232184559,0.1238185296375161,0.1141455305690464,515551.9662282708,1368094.116150366,2220636.26607246,3073178.415994555,3925720.56591665,4778262.715838745,5630804.86576084,6483347.015682933,7335889.165605028,8188431.315527123,515551.9662282708,1368094.116150366,2220636.26607246,3073178.415994555,3925720.56591665,4778262.715838745,5630804.86576084,6483347.015682933,7335889.165605028,8188431.315527123,0.9702370098368926,0.4577238110692033,0.3147030267137854,0.2446291483886123,0.202279446364466,0.1736243308384381,0.1528062596421042,0.1369217198570775,0.1243584594648425,0.1141455305690461
82.3,85254.09785837366,261043.3775720925,436832.6572858113,612621.9369995302,788411.216713249,964200.4964269677,1139989.776140687,1315779.055854406,1491568.335568124,1667357.615281843,0.1700547604115648,0.9702370098368918,0.4358380332060731,0.3011792186279488,0.2360703544159341,0.1967431074401915,0.150587067691077,0.1356685232184557,0.1238185296375162,0.1141455305690464,85254.09785837366,261043.3775720925,436832.6572858113,612621.9369995302,788411.216713249,964200.4964269677,1139989.776140687,1315779.055854406,1491568.335568124,1667357.615281843,0.9702370098368918,0.4358380332060731,0.3011792186279488,0.2360703544159341,0.1967431074401915,0.1700547604115648,0.150587067691077,0.1356685232184557,0.1238185296375162,0.1141455305690464,515551.966228271,1368094.116150366,2220636.26607246,3073178.415994556,3925720.56591665,4778262.715838746,5630804.86576084,6483347.015682936,7335889.16560503,8188431.315527125,515551.966228271,1368094.116150366,2220636.26607246,3073178.415994556,3925720.56591665,4778262.715838746,5630804.86576084,6483347.015682936,7335889.16560503,8188431.315527125,0.9702370098368922,0.4577238110692032,0.3147030267137854,0.2446291483886123,0.202279446364466,0.173624330838438,0.1528062596421042,0.1369217198570775,0.1243584594648425,0.1141455305690461
82.35,85254.09785837366,261043.3775720924,436832.6572858111,612621.9369995298,788411.2167132486,964200.4964269674,1139989.776140686,1315779.055854405,1491568.335568124,1667357.615281843,0.1700547604115648,0.9702370098368918,0.4358380332060731,0.3011792186279489,0.2360703544159342,0.1967431074401916,0.150587067691077,0.1356685232184558,0.1238185296375162,0.1141455305690464,85254.09785837366,261043.3775720924,436832.6572858111,612621.9369995298,788411.2167132486,964200.4964269674,1139989.776140686,1315779.055854405,1491568.335568124,1667357.615281843,0.9702370098368918,0.4358380332060731,0.3011792186279489,0.2360703544159342,0.1967431074401916,0.1700547604115648,0.150587067691077,0.1356685232184558,0.1238185296375162,0.1141455305690464,515551.9662282717,1368094.116150367,2220636.266072461,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.16560503,8188431.315527125,515551.9662282717,1368094.116150367,2220636.266072461,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.16560503,8188431.315527125,0.9702370098368932,0.457723811069203,0.3147030267137853,0.2446291483886122,0.2022794463644662,0.173624330838438,0.1528062596421042,0.1369217198570775,0.1243584594648425,0.1141455305690461
82.4,85254.09785837366,261043.377572093,436832.6572858124,612621.9369995317,788411.2167132512,964200.4964269705,1139989.77614069,1315779.055854409,1491568.335568129,1667357.615281848,0.1700547604115641,0.9702370098368918,0.4358380332060726,0.3011792186279481,0.2360703544159337,0.1967431074401907,0.1505870676910765,0.1356685232184554,0.1238185296375158,0.1141455305690459,85254.09785837366,261043.377572093,436832.6572858124,612621.9369995317,788411.2167132512,964200.4964269705,1139989.77614069,1315779.055854409,1491568.335568129,1667357.615281848,0.9702370098368918,0.4358380332060726,0.3011792186279481,0.2360703544159337,0.1967431074401907,0.1700547604115641,0.1505870676910765,0.1356685232184554,0.1238185296375158,0.1141455305690459,515551.9662282714,1368094.116150367,2220636.266072462,3073178.415994557,3925720.565916652,4778262.715838747,5630804.865760842,6483347.015682938,7335889.165605033,8188431.315527128,515551.9662282714,1368094.116150367,2220636.266072462,3073178.415994557,3925720.565916652,4778262.715838747,5630804.865760842,6483347.015682938,7335889.165605033,8188431.315527128,0.9702370098368939,0.457723811069203,0.3147030267137852,0.2446291483886122,0.2022794463644662,0.1736243308384386,0.1528062596421041,0.1369217198570774,0.1243584594648425,0.114145530569046
82.45,85254.09785837366,261043.3775720925,436832.6572858115,612621.9369995304,788411.2167132493,964200.4964269683,1139989.776140687,1315779.055854406,1491568.335568125,1667357.615281844,0.1700547604115647,0.9702370098368918,0.435838033206073,0.3011792186279487,0.236070354415934,0.1967431074401914,0.1505870676910767,0.1356685232184556,0.1238185296375161,0.1141455305690463,85254.09785837366,261043.3775720925,436832.6572858115,612621.9369995304,788411.2167132493,964200.4964269683,1139989.776140687,1315779.055854406,1491568.335568125,1667357.615281844,0.9702370098368918,0.435838033206073,0.3011792186279487,0.236070354415934,0.1967431074401914,0.1700547604115647,0.1505870676910767,0.1356685232184556,0.1238185296375161,0.1141455305690463,515551.9662282708,1368094.116150366,2220636.266072461,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760842,6483347.015682938,7335889.165605033,8188431.315527128,515551.9662282708,1368094.116150366,2220636.266072461,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760842,6483347.015682938,7335889.165605033,8188431.315527128,0.9702370098368926,0.4577238110692032,0.3147030267137853,0.2446291483886122,0.2022794463644662,0.173624330838438,0.1528062596421042,0.1369217198570774,0.1243584594648425,0.114145530569046
82.5,85254.09785837366,261043.3775720925,436832.6572858115,612621.9369995304,788411.2167132493,964200.4964269683,1139989.776140687,1315779.055854406,1491568.335568125,1667357.615281844,0.1700547604115647,0.9702370098368918,0.435838033206073,0.3011792186279487,0.236070354415934,0.1967431074401914,0.1505870676910767,0.1356685232184556,0.1238185296375161,0.1141455305690463,85254.09785837366,261043.3775720925,436832.6572858115,612621.9369995304,788411.2167132493,964200.4964269683,1139989.776140687,1315779.055854406,1491568.335568125,1667357.615281844,0.9702370098368918,0.435838033206073,0.3011792186279487,0.236070354415934,0.1967431074401914,0.1700547604115647,0.1505870676910767,0.1356685232184556,0.1238185296375161,0.1141455305690463,515551.9662282703,1368094.116150366,2220636.26607246,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.165605031,8188431.315527126,515551.9662282703,1368094.116150366,2220636.26607246,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.165605031,8188431.315527126,0.9702370098368934,0.4577238110692033,0.3147030267137854,0.2446291483886123,0.2022794463644662,0.173624330838438,0.1528062596421042,0.1369217198570774,0.1243584594648425,0.1141455305690461
82.55,85254.09785837366,261043.3775720922,436832.6572858108,612621.9369995294,788411.2167132478,964200.4964269664,1139989.776140685,1315779.055854403,1491568.335568122,1667357.615281841,0.1700547604115648,0.9702370098368918,0.4358380332060735,0.3011792186279492,0.2360703544159347,0.1967431074401918,0.1505870676910772,0.135668523218456,0.1238185296375161,0.1141455305690464,85254.09785837366,261043.3775720922,436832.6572858108,612621.9369995294,788411.2167132478,964200.4964269664,1139989.776140685,1315779.055854403,1491568.335568122,1667357.615281841,0.9702370098368918,0.4358380332060735,0.3011792186279492,0.2360703544159347,0.1967431074401918,0.1700547604115648,0.1505870676910772,0.135668523218456,0.1238185296375161,0.1141455305690464,515551.9662282707,1368094.116150365,2220636.26607246,3073178.415994555,3925720.56591665,4778262.715838745,5630804.86576084,6483347.015682933,7335889.165605028,8188431.315527123,515551.9662282707,1368094.116150365,2220636.26607246,3073178.415994555,3925720.56591665,4778262.715838745,5630804.86576084,6483347.015682933,7335889.165605028,8188431.315527123,0.9702370098368929,0.4577238110692035,0.3147030267137854,0.2446291483886123,0.202279446364466,0.1736243308384381,0.1528062596421042,0.1369217198570775,0.1243584594648425,0.1141455305690461
82.6,85254.09785837366,261043.3775720921,436832.6572858104,612621.9369995289,788411.2167132472,964200.4964269657,1139989.776140684,1315779.055854403,1491568.335568121,1667357.615281839,0.1700547604115648,0.9702370098368918,0.4358380332060737,0.3011792186279494,0.2360703544159344,0.1967431074401912,0.1505870676910773,0.135668523218456,0.1238185296375164,0.1141455305690465,85254.09785837366,261043.3775720921,436832.6572858104,612621.9369995289,788411.2167132472,964200.4964269657,1139989.776140684,1315779.055854403,1491568.335568121,1667357.615281839,0.9702370098368918,0.4358380332060737,0.3011792186279494,0.2360703544159344,0.1967431074401912,0.1700547604115648,0.1505870676910773,0.135668523218456,0.1238185296375164,0.1141455305690465,515551.9662282716,1368094.116150366,2220636.26607246,3073178.415994556,3925720.56591665,4778262.715838745,5630804.86576084,6483347.015682935,7335889.165605028,8188431.315527122,515551.9662282716,1368094.116150366,2220636.26607246,3073178.415994556,3925720.56591665,4778262.715838745,5630804.86576084,6483347.015682935,7335889.165605028,8188431.315527122,0.9702370098368936,0.4577238110692031,0.3147030267137854,0.2446291483886123,0.202279446364466,0.1736243308384381,0.1528062596421042,0.1369217198570775,0.1243584594648425,0.1141455305690461
82.65,85254.09785837366,261043.3775720921,436832.6572858104,612621.9369995289,788411.2167132472,964200.4964269657,1139989.776140684,1315779.055854403,1491568.335568121,1667357.615281839,0.1700547604115648,0.9702370098368918,0.4358380332060737,0.3011792186279494,0.2360703544159344,0.1967431074401912,0.1505870676910773,0.135668523218456,0.1238185296375164,0.1141455305690465,85254.09785837366,261043.3775720921,436832.6572858104,612621.9369995289,788411.2167132472,964200.4964269657,1139989.776140684,1315779.055854403,1491568.335568121,1667357.615281839,0.9702370098368918,0.4358380332060737,0.3011792186279494,0.2360703544159344,0.1967431074401912,0.1700547604115648,0.1505870676910773,0.135668523218456,0.1238185296375164,0.1141455305690465,515551.9662282708,1368094.116150366,2220636.26607246,3073178.415994555,3925720.56591665,4778262.715838745,5630804.86576084,6483347.015682933,7335889.165605028,8188431.315527123,515551.9662282708,1368094.116150366,2220636.26607246,3073178.415994555,3925720.56591665,4778262.715838745,5630804.86576084,6483347.015682933,7335889.165605028,8188431.315527123,0.9702370098368926,0.4577238110692033,0.3147030267137854,0.2446291483886123,0.202279446364466,0.1736243308384381,0.1528062596421042,0.1369217198570775,0.1243584594648425,0.1141455305690461
82.7,85254.09785837366,261043.3775720925,436832.6572858115,612621.9369995304,788411.2167132493,964200.4964269683,1139989.776140687,1315779.055854406,1491568.335568125,1667357.615281844,0.1700547604115647,0.9702370098368918,0.435838033206073,0.3011792186279487,0.236070354415934,0.1967431074401914,0.1505870676910767,0.1356685232184556,0.1238185296375161,0.1141455305690463,85254.09785837366,261043.3775720925,436832.6572858115,612621.9369995304,788411.2167132493,964200.4964269683,1139989.776140687,1315779.055854406,1491568.335568125,1667357.615281844,0.9702370098368918,0.435838033206073,0.3011792186279487,0.236070354415934,0.1967431074401914,0.1700547604115647,0.1505870676910767,0.1356685232184556,0.1238185296375161,0.1141455305690463,515551.9662282724,1368094.116150367,2220636.266072462,3073178.415994557,3925720.565916652,4778262.715838747,5630804.865760842,6483347.015682938,7335889.165605033,8188431.315527128,515551.9662282724,1368094.116150367,2220636.266072462,3073178.415994557,3925720.565916652,4778262.715838747,5630804.865760842,6483347.015682938,7335889.165605033,8188431.315527128,0.970237009836893,0.4577238110692027,0.3147030267137852,0.2446291483886122,0.2022794463644662,0.1736243308384386,0.1528062596421042,0.1369217198570774,0.1243584594648425,0.114145530569046
82.75,85254.09785837366,261043.3775720922,436832.6572858107,612621.9369995293,788411.2167132478,964200.4964269663,1139989.776140685,1315779.055854403,1491568.335568122,1667357.61528184,0.1700547604115648,0.9702370098368918,0.4358380332060735,0.3011792186279492,0.2360703544159343,0.1967431074401915,0.1505870676910772,0.135668523218456,0.1238185296375162,0.1141455305690465,85254.09785837366,261043.3775720922,436832.6572858107,612621.9369995293,788411.2167132478,964200.4964269663,1139989.776140685,1315779.055854403,1491568.335568122,1667357.61528184,0.9702370098368918,0.4358380332060735,0.3011792186279492,0.2360703544159343,0.1967431074401915,0.1700547604115648,0.1505870676910772,0.135668523218456,0.1238185296375162,0.1141455305690465,515551.9662282714,1368094.116150366,2220636.26607246,3073178.415994556,3925720.56591665,4778262.715838745,5630804.86576084,6483347.015682933,7335889.165605028,8188431.315527123,515551.9662282714,1368094.116150366,2220636.26607246,3073178.415994556,3925720.56591665,4778262.715838745,5630804.86576084,6483347.015682933,7335889.165605028,8188431.315527123,0.9702370098368941,0.4577238110692032,0.3147030267137854,0.2446291483886123,0.202279446364466,0.1736243308384381,0.1528062596421042,0.1369217198570775,0.1243584594648425,0.1141455305690461
82.8,85254.09785837366,261043.3775720924,436832.657285811,612621.9369995298,788411.2167132484,964200.4964269671,1139989.776140686,1315779.055854405,1491568.335568123,1667357.615281842,0.1700547604115647,0.9702370098368918,0.4358380332060732,0.3011792186279491,0.2360703544159342,0.1967431074401916,0.150587067691077,0.1356685232184558,0.1238185296375162,0.1141455305690463,85254.09785837366,261043.3775720924,436832.657285811,612621.9369995298,788411.2167132484,964200.4964269671,1139989.776140686,1315779.055854405,1491568.335568123,1667357.615281842,0.9702370098368918,0.4358380332060732,0.3011792186279491,0.2360703544159342,0.1967431074401916,0.1700547604115647,0.150587067691077,0.1356685232184558,0.1238185296375162,0.1141455305690463,515551.9662282706,1368094.116150366,2220636.26607246,3073178.415994555,3925720.56591665,4778262.715838746,5630804.86576084,6483347.015682936,7335889.16560503,8188431.315527125,515551.9662282706,1368094.116150366,2220636.26607246,3073178.415994555,3925720.56591665,4778262.715838746,5630804.86576084,6483347.015682936,7335889.16560503,8188431.315527125,0.970237009836893,0.4577238110692033,0.3147030267137854,0.2446291483886123,0.202279446364466,0.173624330838438,0.1528062596421042,0.1369217198570775,0.1243584594648425,0.1141455305690461
82.85,85254.09785837366,261043.3775720926,436832.6572858115,612621.9369995305,788411.2167132493,964200.4964269684,1139989.776140687,1315779.055854406,1491568.335568125,1667357.615281844,0.1700547604115646,0.9702370098368918,0.4358380332060728,0.3011792186279487,0.236070354415934,0.1967431074401914,0.150587067691077,0.1356685232184556,0.1238185296375161,0.1141455305690463,85254.09785837366,261043.3775720926,436832.6572858115,612621.9369995305,788411.2167132493,964200.4964269684,1139989.776140687,1315779.055854406,1491568.335568125,1667357.615281844,0.9702370098368918,0.4358380332060728,0.3011792186279487,0.236070354415934,0.1967431074401914,0.1700547604115646,0.150587067691077,0.1356685232184556,0.1238185296375161,0.1141455305690463,515551.9662282717,1368094.116150367,2220636.266072462,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.165605031,8188431.315527126,515551.9662282717,1368094.116150367,2220636.266072462,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.165605031,8188431.315527126,0.9702370098368932,0.4577238110692029,0.3147030267137852,0.2446291483886122,0.2022794463644662,0.173624330838438,0.1528062596421042,0.1369217198570774,0.1243584594648425,0.1141455305690461
82.9,85254.09785837366,261043.3775720923,436832.657285811,612621.9369995297,788411.2167132483,964200.496426967,1139989.776140686,1315779.055854404,1491568.335568123,1667357.615281842,0.1700547604115648,0.9702370098368918,0.4358380332060733,0.3011792186279491,0.2360703544159342,0.1967431074401917,0.1505870676910771,0.1356685232184559,0.1238185296375161,0.1141455305690464,85254.09785837366,261043.3775720923,436832.657285811,612621.9369995297,788411.2167132483,964200.496426967,1139989.776140686,1315779.055854404,1491568.335568123,1667357.615281842,0.9702370098368918,0.4358380332060733,0.3011792186279491,0.2360703544159342,0.1967431074401917,0.1700547604115648,0.1505870676910771,0.1356685232184559,0.1238185296375161,0.1141455305690464,515551.9662282721,1368094.116150367,2220636.266072462,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.16560503,8188431.315527125,515551.9662282721,1368094.116150367,2220636.266072462,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.16560503,8188431.315527125,0.9702370098368936,0.4577238110692028,0.3147030267137852,0.2446291483886122,0.2022794463644662,0.173624330838438,0.1528062596421042,0.1369217198570775,0.1243584594648425,0.1141455305690461
82.95,85254.09785837366,261043.3775720925,436832.6572858115,612621.9369995304,788411.2167132493,964200.4964269683,1139989.776140687,1315779.055854406,1491568.335568125,1667357.615281844,0.1700547604115647,0.9702370098368918,0.435838033206073,0.3011792186279487,0.236070354415934,0.1967431074401914,0.1505870676910767,0.1356685232184556,0.1238185296375161,0.1141455305690463,85254.09785837366,261043.3775720925,436832.6572858115,612621.9369995304,788411.2167132493,964200.4964269683,1139989.776140687,1315779.055854406,1491568.335568125,1667357.615281844,0.9702370098368918,0.435838033206073,0.3011792186279487,0.236070354415934,0.1967431074401914,0.1700547604115647,0.1505870676910767,0.1356685232184556,0.1238185296375161,0.1141455305690463,515551.9662282714,1368094.116150367,2220636.266072462,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760842,6483347.015682938,7335889.165605033,8188431.315527128,515551.9662282714,1368094.116150367,2220636.266072462,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760842,6483347.015682938,7335889.165605033,8188431.315527128,0.9702370098368939,0.457723811069203,0.3147030267137852,0.2446291483886122,0.2022794463644662,0.173624330838438,0.1528062596421042,0.1369217198570774,0.1243584594648425,0.114145530569046
83,85254.09785837366,261043.3775720924,436832.6572858111,612621.9369995298,788411.2167132486,964200.4964269674,1139989.776140686,1315779.055854405,1491568.335568124,1667357.615281843,0.1700547604115648,0.9702370098368918,0.4358380332060731,0.3011792186279489,0.2360703544159342,0.1967431074401916,0.150587067691077,0.1356685232184558,0.1238185296375162,0.1141455305690464,85254.09785837366,261043.3775720924,436832.6572858111,612621.9369995298,788411.2167132486,964200.4964269674,1139989.776140686,1315779.055854405,1491568.335568124,1667357.615281843,0.9702370098368918,0.4358380332060731,0.3011792186279489,0.2360703544159342,0.1967431074401916,0.1700547604115648,0.150587067691077,0.1356685232184558,0.1238185296375162,0.1141455305690464,515551.9662282717,1368094.116150367,2220636.266072461,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.16560503,8188431.315527125,515551.9662282717,1368094.116150367,2220636.266072461,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.16560503,8188431.315527125,0.9702370098368932,0.457723811069203,0.3147030267137853,0.2446291483886122,0.2022794463644662,0.173624330838438,0.1528062596421042,0.1369217198570775,0.1243584594648425,0.1141455305690461
83.05,85254.09785837366,261043.3775720924,436832.6572858111,612621.9369995298,788411.2167132486,964200.4964269674,1139989.776140686,1315779.055854405,1491568.335568124,1667357.615281843,0.1700547604115648,0.9702370098368918,0.4358380332060731,0.3011792186279489,0.2360703544159342,0.1967431074401916,0.150587067691077,0.1356685232184558,0.1238185296375162,0.1141455305690464,85254.09785837366,261043.3775720924,436832.6572858111,612621.9369995298,788411.2167132486,964200.4964269674,1139989.776140686,1315779.055854405,1491568.335568124,1667357.615281843,0.9702370098368918,0.4358380332060731,0.3011792186279489,0.2360703544159342,0.1967431074401916,0.1700547604115648,0.150587067691077,0.1356685232184558,0.1238185296375162,0.1141455305690464,515551.966228271,1368094.116150366,2220636.266072461,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.165605031,8188431.315527126,515551.966228271,1368094.116150366,2220636.266072461,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.165605031,8188431.315527126,0.9702370098368922,0.4577238110692032,0.3147030267137853,0.2446291483886123,0.2022794463644662,0.173624330838438,0.1528062596421042,0.1369217198570774,0.1243584594648425,0.1141455305690461
83.1,85254.09785837366,261043.3775720924,436832.6572858111,612621.9369995298,788411.2167132486,964200.4964269674,1139989.776140686,1315779.055854405,1491568.335568124,1667357.615281843,0.1700547604115648,0.9702370098368918,0.4358380332060731,0.3011792186279489,0.2360703544159342,0.1967431074401916,0.150587067691077,0.1356685232184558,0.1238185296375162,0.1141455305690464,85254.09785837366,261043.3775720924,436832.6572858111,612621.9369995298,788411.2167132486,964200.4964269674,1139989.776140686,1315779.055854405,1491568.335568124,1667357.615281843,0.9702370098368918,0.4358380332060731,0.3011792186279489,0.2360703544159342,0.1967431074401916,0.1700547604115648,0.150587067691077,0.1356685232184558,0.1238185296375162,0.1141455305690464,515551.9662282703,1368094.116150365,2220636.26607246,3073178.415994556,3925720.56591665,4778262.715838745,5630804.86576084,6483347.015682936,7335889.16560503,8188431.315527125,515551.9662282703,1368094.116150365,2220636.26607246,3073178.415994556,3925720.56591665,4778262.715838745,5630804.86576084,6483347.015682936,7335889.16560503,8188431.315527125,0.9702370098368934,0.4577238110692035,0.3147030267137854,0.2446291483886123,0.202279446364466,0.1736243308384381,0.1528062596421042,0.1369217198570775,0.1243584594648425,0.1141455305690461
